time,date,ring,plot,co2,no,nh,po
1,6/13/2012,1,1,elev,1.11,10.359,2.924
1,6/13/2012,1,2,elev,0.866,7.283,3.789
1,6/13/2012,1,3,elev,1.494,3.976,2.572
1,6/13/2012,1,4,elev,0.809,5.018,2.29
1,6/13/2012,2,1,amb,2.151,4.08,2.376
1,6/13/2012,2,2,amb,2.501,11.306,1.696
1,6/13/2012,2,3,amb,1.829,7.857,2.035
1,6/13/2012,2,4,amb,2.393,8.665,1.845
1,6/13/2012,3,1,amb,0.603,8.65,1.699
1,6/13/2012,3,2,amb,0.539,7.708,0.753
1,6/13/2012,3,3,amb,0.371,6.328,1.937
1,6/13/2012,3,4,amb,0.438,6.729,1.67
1,6/13/2012,4,1,elev,0.328,9.432,2.689
1,6/13/2012,4,2,elev,0.681,6.477,1.757
1,6/13/2012,4,3,elev,0.727,10.143,2.719
1,6/13/2012,4,4,elev,0.827,4.219,1.77
1,6/13/2012,5,1,elev,0.646,10.418,1.91
1,6/13/2012,5,2,elev,0.689,10.549,1.107
1,6/13/2012,5,3,elev,1.224,8.487,1.709
1,6/13/2012,5,4,elev,0.706,13.996,1.159
1,6/13/2012,6,1,amb,0.29,10.776,1.351
1,6/13/2012,6,2,amb,2.485,8.738,2.386
1,6/13/2012,6,3,amb,1.349,9.739,1.877
1,6/13/2012,6,4,amb,1.893,9.75,1.117
2,9/3/2012,1,1,elev,1.963,12.033,1.511
2,9/3/2012,1,2,elev,5.289,13.46,1.747
2,9/3/2012,1,3,elev,2.085,13.414,1.53
2,9/3/2012,1,4,elev,1.804,12.947,1.275
2,9/3/2012,2,1,amb,6.507,13.591,1.455
2,9/3/2012,2,2,amb,2.881,12.194,2.57
2,9/3/2012,2,3,amb,1.488,12.502,1.47
2,9/3/2012,2,4,amb,2.73,13.351,1.579
2,9/3/2012,3,1,amb,0.678,17.004,1.469
2,9/3/2012,3,2,amb,0.864,17.642,2.011
2,9/3/2012,3,3,amb,1.652,14.844,1.874
2,9/3/2012,3,4,amb,1.184,14.369,1.586
2,9/3/2012,4,1,elev,1.712,15.332,1.454
2,9/3/2012,4,2,elev,2.762,13.311,1.126
2,9/3/2012,4,3,elev,2.438,13.376,1.154
2,9/3/2012,4,4,elev,1.906,13.731,1.421
2,9/3/2012,5,1,elev,10.545,18.241,1.836
2,9/3/2012,5,2,elev,1.677,18.84,1.777
2,9/3/2012,5,3,elev,6.811,13.913,1.52
2,9/3/2012,5,4,elev,2.274,15.43,1.459
2,9/3/2012,6,1,amb,1.254,17.139,1.319
2,9/3/2012,6,2,amb,4.641,17.824,1.729
2,9/3/2012,6,3,amb,6.089,17.483,1.864
2,9/3/2012,6,4,amb,13.466,16.622,2.22
3,12/11/2012,1,1,elev,1.612,1.27,1.613
3,12/11/2012,1,2,elev,4.455,1.466,2.04
3,12/11/2012,1,3,elev,4.23,4.659,2.363
3,12/11/2012,1,4,elev,4.011,6.59,2.315
3,12/11/2012,2,1,amb,2.841,1.856,1.516
3,12/11/2012,2,2,amb,3.295,2.678,1.829
3,12/11/2012,2,3,amb,3.635,2.802,1.682
3,12/11/2012,2,4,amb,2.44,1.412,2.465
3,12/11/2012,3,1,amb,0.791,2.518,1.513
3,12/11/2012,3,2,amb,0.365,1.723,1.526
3,12/11/2012,3,3,amb,0.602,1.625,1.464
3,12/11/2012,3,4,amb,0.473,1.317,1.437
3,12/11/2012,4,1,elev,1.515,2.315,1.645
3,12/11/2012,4,2,elev,2.039,3.226,1.613
3,12/11/2012,4,3,elev,0.675,1.944,1.476
3,12/11/2012,4,4,elev,1.241,3.814,1.704
3,12/11/2012,5,1,elev,4.601,1.465,2.21
3,12/11/2012,5,2,elev,2.406,2.378,1.975
3,12/11/2012,5,3,elev,3.332,1.127,1.794
3,12/11/2012,5,4,elev,1.36,2.554,1.82
3,12/11/2012,6,1,amb,1.68,1.265,1.842
3,12/11/2012,6,2,amb,2.394,1.63,1.841
3,12/11/2012,6,3,amb,2.205,1.321,1.915
3,12/11/2012,6,4,amb,4.937,1.201,1.977
4,3/11/2013,1,1,elev,1.752,4.381,2.63
4,3/11/2013,1,2,elev,2.53,6.224,3.01
4,3/11/2013,1,3,elev,1.966,5.233,1.606
4,3/11/2013,1,4,elev,1.799,5.03,1.382
4,3/11/2013,2,1,amb,2.608,7.53,0.947
4,3/11/2013,2,2,amb,1.915,4.789,1.054
4,3/11/2013,2,3,amb,1.511,3.529,1.714
4,3/11/2013,2,4,amb,1.611,3.893,2.171
4,3/11/2013,3,1,amb,1.573,5.384,0.969
4,3/11/2013,3,2,amb,0.463,6.14,1.408
4,3/11/2013,3,3,amb,1.547,4.373,0.917
4,3/11/2013,3,4,amb,0.825,4.183,1.772
4,3/11/2013,4,1,elev,0.481,4.239,1.746
4,3/11/2013,4,2,elev,1.447,7.716,1.42
4,3/11/2013,4,3,elev,0.693,5.247,1.645
4,3/11/2013,4,4,elev,0.995,4.277,1.901
4,3/11/2013,5,1,elev,1.852,5.292,2.084
4,3/11/2013,5,2,elev,2.323,5.525,1.808
4,3/11/2013,5,3,elev,1.421,3.193,2.296
4,3/11/2013,5,4,elev,1.632,5.254,2.179
4,3/11/2013,6,1,amb,1.736,7.347,1.28
4,3/11/2013,6,2,amb,1.438,6.215,1.935
4,3/11/2013,6,3,amb,2.823,8.456,2.936
4,3/11/2013,6,4,amb,2.56,5.941,3.13
5,6/11/2013,1,1,elev,2.43,1.946,2.4
5,6/11/2013,1,2,elev,3.526,2.189,3.142
