Time,Insertion date,Sampling date,date (mid-point),Ring,Plot,CO2 treat,Nitrate,Ammonium,Phosphate
1,6/6/2012,7/4/2012,6/20/2012,1,1,elev,675.58,58.1,4.84
1,6/6/2012,7/4/2012,6/20/2012,1,2,elev,716.16,15.3,5.01
1,6/6/2012,7/4/2012,6/20/2012,1,3,elev,817.04,193.84,10.71
1,6/6/2012,7/4/2012,6/20/2012,1,4,elev,885.99,51.97,13.56
1,6/6/2012,7/4/2012,6/20/2012,1,5,elev,1123.75,131.52,57.41
1,6/6/2012,7/4/2012,6/20/2012,1,6,elev,886.39,124.78,7.1
1,6/6/2012,7/4/2012,6/20/2012,1,7,elev,680.58,103.45,3.71
1,6/6/2012,7/4/2012,6/20/2012,1,8,elev,884.97,14.52,17.93
1,6/6/2012,7/4/2012,6/20/2012,2,1,amb,1403.18,54.3,1.43
1,6/6/2012,7/4/2012,6/20/2012,2,2,amb,1235.1,157.28,6.11
1,6/6/2012,7/4/2012,6/20/2012,2,3,amb,949.22,10.87,16.04
1,6/6/2012,7/4/2012,6/20/2012,2,4,amb,862.14,15.92,5.66
1,6/6/2012,7/4/2012,6/20/2012,2,5,amb,637.57,17.3,1.19
1,6/6/2012,7/4/2012,6/20/2012,2,6,amb,722.48,110.52,1.31
1,6/6/2012,7/4/2012,6/20/2012,2,7,amb,331.64,944.2,1.74
1,6/6/2012,7/4/2012,6/20/2012,2,8,amb,477.26,167.89,8.16
1,6/6/2012,7/4/2012,6/20/2012,3,1,amb,83.31,221.22,372.83
1,6/6/2012,7/4/2012,6/20/2012,3,2,amb,19.59,127.45,19.15
1,6/6/2012,7/4/2012,6/20/2012,3,3,amb,133.53,77.85,15.5
1,6/6/2012,7/4/2012,6/20/2012,3,4,amb,125.14,155.2,3.99
1,6/6/2012,7/4/2012,6/20/2012,3,5,amb,131.38,93.68,13.37
1,6/6/2012,7/4/2012,6/20/2012,3,6,amb,245.67,56.74,6.27
1,6/6/2012,7/4/2012,6/20/2012,3,7,amb,216.06,61.17,4.67
1,6/6/2012,7/4/2012,6/20/2012,3,8,amb,372.44,203.02,8.56
1,6/6/2012,7/4/2012,6/20/2012,4,1,elev,653.13,110.05,2.07
1,6/6/2012,7/4/2012,6/20/2012,4,2,elev,606.89,209.12,5.75
1,6/6/2012,7/4/2012,6/20/2012,4,3,elev,509.12,63.48,1.05
1,6/6/2012,7/4/2012,6/20/2012,4,4,elev,1117.84,237.49,3.97
1,6/6/2012,7/4/2012,6/20/2012,4,5,elev,837.8,13.59,1.57
1,6/6/2012,7/4/2012,6/20/2012,4,6,elev,1115.67,55.14,0.84
1,6/6/2012,7/4/2012,6/20/2012,4,7,elev,273.56,230,1.27
1,6/6/2012,7/4/2012,6/20/2012,4,8,elev,292.34,168.04,4.2
1,6/6/2012,7/4/2012,6/20/2012,5,1,elev,1483.99,12.11,3.09
1,6/6/2012,7/4/2012,6/20/2012,5,2,elev,761.45,13.85,1.13
1,6/6/2012,7/4/2012,6/20/2012,5,3,elev,1266.99,15.78,1.46
1,6/6/2012,7/4/2012,6/20/2012,5,4,elev,853.86,68.29,3.84
1,6/6/2012,7/4/2012,6/20/2012,5,5,elev,1663.45,7.79,1.67
1,6/6/2012,7/4/2012,6/20/2012,5,6,elev,1068.7,5.73,8.2
1,6/6/2012,7/4/2012,6/20/2012,5,7,elev,1225.1,20.67,3.83
1,6/6/2012,7/4/2012,6/20/2012,5,8,elev,460.33,48.03,6.01
1,6/6/2012,7/4/2012,6/20/2012,6,1,amb,745.5,28.53,1.51
1,6/6/2012,7/4/2012,6/20/2012,6,2,amb,1761.8,18.93,3.32
1,6/6/2012,7/4/2012,6/20/2012,6,3,amb,1653.43,37.14,1.95
1,6/6/2012,7/4/2012,6/20/2012,6,4,amb,1506.17,3.62,4.74
1,6/6/2012,7/4/2012,6/20/2012,6,5,amb,1005.3,7.23,2.45
1,6/6/2012,7/4/2012,6/20/2012,6,6,amb,1863.99,8.81,1.83
1,6/6/2012,7/4/2012,6/20/2012,6,7,amb,642.37,10.36,1.73
1,6/6/2012,7/4/2012,6/20/2012,6,8,amb,694.15,23.45,15.98
2,7/4/2012,8/1/2012,7/18/2012,1,1,elev,826.25,43.04,2.95
2,7/4/2012,8/1/2012,7/18/2012,1,2,elev,818.42,15.91,4.74
2,7/4/2012,8/1/2012,7/18/2012,1,3,elev,1059.96,35.61,3.7
2,7/4/2012,8/1/2012,7/18/2012,1,4,elev,836.66,71.2,11.56
2,7/4/2012,8/1/2012,7/18/2012,1,5,elev,2038.22,220.85,18.66
2,7/4/2012,8/1/2012,7/18/2012,1,6,elev,1424.59,72.36,4.9
2,7/4/2012,8/1/2012,7/18/2012,1,7,elev,895.62,38.42,6.88
2,7/4/2012,8/1/2012,7/18/2012,1,8,elev,1500.16,67.72,4.07
2,7/4/2012,8/1/2012,7/18/2012,2,1,amb,1253.73,276.15,1.58
2,7/4/2012,8/1/2012,7/18/2012,2,2,amb,1048.89,9.28,0.45
2,7/4/2012,8/1/2012,7/18/2012,2,3,amb,409.82,48.85,1.1
2,7/4/2012,8/1/2012,7/18/2012,2,4,amb,747.43,51.11,0.82
2,7/4/2012,8/1/2012,7/18/2012,2,5,amb,818.84,3.49,0.74
2,7/4/2012,8/1/2012,7/18/2012,2,6,amb,267.81,17.91,0.34
2,7/4/2012,8/1/2012,7/18/2012,2,7,amb,1738.63,1338.76,3.4
2,7/4/2012,8/1/2012,7/18/2012,2,8,amb,696.79,232.29,2.61
2,7/4/2012,8/1/2012,7/18/2012,3,1,amb,579.77,85.48,1.11
2,7/4/2012,8/1/2012,7/18/2012,3,2,amb,19.24,159.51,20.64
2,7/4/2012,8/1/2012,7/18/2012,3,3,amb,314.25,68.51,16.17
2,7/4/2012,8/1/2012,7/18/2012,3,4,amb,304.04,156.52,20.1
2,7/4/2012,8/1/2012,7/18/2012,3,5,amb,643.44,47.89,2.13
2,7/4/2012,8/1/2012,7/18/2012,3,6,amb,670.82,18.63,3.11
2,7/4/2012,8/1/2012,7/18/2012,3,7,amb,553.08,51.39,1.25
2,7/4/2012,8/1/2012,7/18/2012,3,8,amb,258.32,72.87,2.31
2,7/4/2012,8/1/2012,7/18/2012,4,1,elev,1416.32,150.91,1.15
2,7/4/2012,8/1/2012,7/18/2012,4,2,elev,1068.69,68.93,1.58
2,7/4/2012,8/1/2012,7/18/2012,4,3,elev,974.19,32.85,0.63
2,7/4/2012,8/1/2012,7/18/2012,4,4,elev,1352.99,287.43,0.56
2,7/4/2012,8/1/2012,7/18/2012,4,5,elev,954.44,196.8,0.78
2,7/4/2012,8/1/2012,7/18/2012,4,6,elev,1100.24,4.62,0.39
2,7/4/2012,8/1/2012,7/18/2012,4,7,elev,223.31,66.96,0.46
2,7/4/2012,8/1/2012,7/18/2012,4,8,elev,422.77,124.55,0.61
2,7/4/2012,8/1/2012,7/18/2012,5,1,elev,1902.89,3.3,1.9
2,7/4/2012,8/1/2012,7/18/2012,5,2,elev,1581.27,4.86,0.76
2,7/4/2012,8/1/2012,7/18/2012,5,3,elev,1838.31,6.57,0.71
2,7/4/2012,8/1/2012,7/18/2012,5,4,elev,1912.8,54.52,2.53
2,7/4/2012,8/1/2012,7/18/2012,5,5,elev,1458.07,5.32,0.81
2,7/4/2012,8/1/2012,7/18/2012,5,6,elev,1993.98,2.6,4.29
2,7/4/2012,8/1/2012,7/18/2012,5,7,elev,1261.14,27.02,2.99
